,ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW
41257,AL042000,            UNNAMED,20000808,1200,  , TD,28.2,74.2,30,1011,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
41258,AL042000,            UNNAMED,20000808,1800,  , TD,28.1,75.1,30,1010,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
41259,AL042000,            UNNAMED,20000809,0,  , TD,28.0,76.0,30,1010,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
41260,AL042000,            UNNAMED,20000809,600,  , TD,27.9,76.8,30,1010,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
41261,AL042000,            UNNAMED,20000809,1200,  , TD,27.9,77.4,30,1010,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
41262,AL042000,            UNNAMED,20000809,1800,  , TD,27.9,77.9,30,1010,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
41263,AL042000,            UNNAMED,20000810,0,  , TD,28.0,78.6,30,1009,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
41264,AL042000,            UNNAMED,20000810,600,  , TD,28.3,79.3,30,1010,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
41265,AL042000,            UNNAMED,20000810,1200,  , TD,28.7,78.9,30,1010,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
41266,AL042000,            UNNAMED,20000810,1800,  , TD,28.9,78.3,25,1011,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
41267,AL042000,            UNNAMED,20000811,0,  , TD,29.2,77.8,25,1011,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
41268,AL042000,            UNNAMED,20000811,600,  , TD,29.4,77.2,25,1012,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
41269,AL042000,            UNNAMED,20000811,1200,  , TD,29.6,76.5,25,1013,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
41327,AL102000,           FLORENCE,20000910,1800,  , SD,30.9,70.9,30,1007,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
41328,AL102000,           FLORENCE,20000911,0,  , SD,30.8,71.3,30,1007,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
41329,AL102000,           FLORENCE,20000911,600,  , TD,30.7,71.8,30,1006,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
41330,AL102000,           FLORENCE,20000911,1200,  , TS,30.4,72.2,45,1002,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
41331,AL102000,           FLORENCE,20000911,1800,  , HU,30.1,72.6,65,998,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
41332,AL102000,           FLORENCE,20000912,0,  , HU,30.1,72.7,65,992,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
41333,AL102000,           FLORENCE,20000912,600,  , TS,30.2,72.8,60,993,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
41334,AL102000,           FLORENCE,20000912,1200,  , TS,30.3,73.1,60,991,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
