COOPID, YEAR, MONTH, DAY, PRECIPITATION, MAX TEMP, MIN TEMP, MEAN TEMP
84358,2000,1,1,0.00000,76.00000,53.00000, 64.50000
84358,2000,1,2,0.00000,77.00000,50.00000, 63.50000
84358,2000,1,3,0.00000,79.00000,49.00000, 64.00000
84358,2000,1,4,0.18000,82.00000,56.00000, 69.00000
84358,2000,1,5,0.00000,60.00000,41.00000, 50.50000
84358,2000,1,6,0.00000,70.00000,40.00000, 55.00000
84358,2000,1,7,0.30000,64.00000,48.00000, 56.00000
84358,2000,1,8,0.00000,71.00000,45.00000, 58.00000
84358,2000,1,9,0.00000,80.00000,50.00000, 65.00000
84358,2000,1,10,0.03000,73.00000,54.00000, 63.50000
84358,2000,1,11,0.00000,74.00000,49.00000, 61.50000
84358,2000,1,12,0.00000,76.00000,41.00000, 58.50000
84358,2000,1,13,0.00000,79.00000,43.00000, 61.00000
84358,2000,1,14,0.00000,61.00000,38.00000, 49.50000
84358,2000,1,15,0.00000,58.00000,30.00000, 44.00000
84358,2000,1,16,0.00000,69.00000,33.00000, 51.00000
84358,2000,1,17,0.00000,62.00000,46.00000, 54.00000
84358,2000,1,18,0.01000,74.00000,47.00000, 60.50000
84358,2000,1,19,0.00000,62.00000,50.00000, 56.00000
84358,2000,1,20,0.00000,71.00000,44.00000, 57.50000
84358,2000,1,21,0.00000,53.00000,30.00000, 41.50000
84358,2000,1,22,0.00000,60.00000,27.00000, 43.50000
84358,2000,1,23,1.20000,76.00000,43.00000, 59.50000
84358,2000,1,24,0.35000,60.00000,38.00000, 49.00000
84358,2000,1,25,0.00000,51.00000,32.00000, 41.50000
84358,2000,1,26,0.00000,44.00000,26.00000, 35.00000
84358,2000,1,27,0.00000,47.00000,24.00000, 35.50000
84358,2000,1,28,0.18000,51.00000,30.00000, 40.50000
84358,2000,1,29,0.12000,59.00000,49.00000, 54.00000
84358,2000,1,30,0.40000,75.00000,43.00000, 59.00000
84358,2000,1,31,0.00000,52.00000,36.00000, 44.00000
84358,2000,2,1,0.00000,57.00000,31.00000, 44.00000
84358,2000,2,2,0.00000,57.00000,35.00000, 46.00000
84358,2000,2,3,0.00000,66.00000,32.00000, 49.00000
84358,2000,2,4,0.00000,68.00000,36.00000, 52.00000
84358,2000,2,5,0.00000,53.00000,29.00000, 41.00000
84358,2000,2,6,0.00000,59.00000,26.00000, 42.50000
84358,2000,2,7,0.00000,66.00000,31.00000, 48.50000
84358,2000,2,8,0.00000,65.00000,38.00000, 51.50000
84358,2000,2,9,0.00000,66.00000,43.00000, 54.50000
84358,2000,2,10,0.00000,71.00000,34.00000, 52.50000
84358,2000,2,11,0.00000,76.00000,43.00000, 59.50000
84358,2000,2,12,0.00000,75.00000,55.00000, 65.00000
84358,2000,2,13,0.00000,76.00000,50.00000, 63.00000
84358,2000,2,14,0.77000,69.00000,61.00000, 65.00000
84358,2000,2,15,0.00000,65.00000,45.00000, 55.00000
84358,2000,2,16,0.00000,80.00000,39.00000, 59.50000
84358,2000,2,17,0.00000,80.00000,50.00000, 65.00000
84358,2000,2,18,0.00000,80.00000,52.00000, 66.00000
84358,2000,2,19,0.00000,81.00000,59.00000, 70.00000
84358,2000,2,20,0.00000,69.00000,41.00000, 55.00000
84358,2000,2,21,0.00000,62.00000,35.00000, 48.50000
84358,2000,2,22,0.00000,63.00000,39.00000, 51.00000
84358,2000,2,23,0.00000,71.00000,42.00000, 56.50000
84358,2000,2,24,0.00000,75.00000,50.00000, 62.50000
84358,2000,2,25,0.00000,75.00000,48.00000, 61.50000
84358,2000,2,26,0.00000,77.00000,49.00000, 63.00000
84358,2000,2,27,0.40000,81.00000,50.00000, 65.50000
84358,2000,2,28,0.00000,72.00000,48.00000, 60.00000
84358,2000,2,29,0.00000,71.00000,45.00000, 58.00000
84358,2000,3,1,0.00000,79.00000,48.00000, 63.50000
84358,2000,3,2,0.00000,81.00000,54.00000, 67.50000
84358,2000,3,3,0.00000,80.00000,44.00000, 62.00000
84358,2000,3,4,0.00000,80.00000,52.00000, 66.00000
84358,2000,3,5,0.00000,72.00000,44.00000, 58.00000
84358,2000,3,6,0.00000,78.00000,47.00000, 62.50000
84358,2000,3,7,0.00000,76.00000,46.00000, 61.00000
84358,2000,3,8,0.00000,78.00000,47.00000, 62.50000
84358,2000,3,9,0.00000,82.00000,53.00000, 67.50000
84358,2000,3,10,0.00000,82.00000,52.00000, 67.00000
84358,2000,3,11,0.00000,85.00000,57.00000, 71.00000
84358,2000,3,12,0.16000,69.00000,45.00000, 57.00000
84358,2000,3,13,0.00000,67.00000,35.00000, 51.00000
84358,2000,3,14,0.00000,69.00000,43.00000, 56.00000
84358,2000,3,15,0.00000,74.00000,49.00000, 61.50000
84358,2000,3,16,0.16000,84.00000,59.00000, 71.50000
84358,2000,3,17,0.00000,78.00000,58.00000, 68.00000
84358,2000,3,18,0.02000,65.00000,55.00000, 60.00000
84358,2000,3,19,0.19000,73.00000,58.00000, 65.50000
84358,2000,3,20,0.06000,80.00000,55.00000, 67.50000
84358,2000,3,21,0.00000,78.00000,48.00000, 63.00000
84358,2000,3,22,0.00000,73.00000,50.00000, 61.50000
84358,2000,3,23,0.00000,63.00000,48.00000, 55.50000
84358,2000,3,24,0.00000,71.00000,49.00000, 60.00000
84358,2000,3,25,0.00000,80.00000,44.00000, 62.00000
84358,2000,3,26,0.38000,79.00000,58.00000, 68.50000
84358,2000,3,27,0.27000,78.00000,59.00000, 68.50000
84358,2000,3,28,0.00000,78.00000,50.00000, 64.00000
84358,2000,3,29,0.00000,85.00000,51.00000, 68.00000
84358,2000,3,30,0.55000,79.00000,60.00000, 69.50000
84358,2000,3,31,0.00000,75.00000,60.00000, 67.50000
84358,2000,4,1,0.00000,78.00000,55.00000, 66.50000
84358,2000,4,2,0.00000,82.00000,63.00000, 72.50000
84358,2000,4,3,0.00000,83.00000,63.00000, 73.00000
84358,2000,4,4,0.00000,73.00000,49.00000, 61.00000
84358,2000,4,5,0.00000,67.00000,38.00000, 52.50000
84358,2000,4,6,0.00000,78.00000,38.00000, 58.00000
84358,2000,4,7,0.00000,79.00000,47.00000, 63.00000
